X,Y,nombre,direccion,tipozona,tipoemision,parametros,mediciones,Contaminación del aire
39.47964,-0.36964,Viveros,Jardines de Viveros,Urbana,Fondo,"Dioxido de azufre (SO2),Oxidos de nitrogeno totales (NOx),Monoxido de nitrogeno (NO),Dioxido de nitrogeno (NO2),Ozono,Benceno (Benc),Tolueno (Tolue),Xileno (Xilen),Nivel de presion sonora (SPL),Particulas PM2.5,Particulas PM10,Niquel (Ni),Arsenico (As),Plomo (Pb),Benzo(a)pireno (BaP),Cadmio (Cd)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/5A.csv,http://aqicn.org/city/spain/valencia/valencia/vivers/m/
39.45752,-0.34266,Francia,"Avda. de Francia, 60",Urbana,Trafico,"Dioxido de azufre (SO2),Monoxido de carbono (CO),Ozono,Oxidos de nitrogeno totales (NOx),Monoxido de nitrogeno (NO),Dioxido de nitrogeno (NO2),Particulas PM10,Particulas PM2.5,Particulas PM1,Velocidad de viento (Veloc.)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/6A.csv,http://aqicn.org/city/spain/valencia/valencia/avd.-francia/m/
39.45039,-0.39633,Boulevar Sur,Avda. Tres Cruces s/n (Parking Cementerio de Valencia),Urbana,Trafico,"Dioxido de azufre (SO2),Ozono,Oxidos de nitrogeno totales (NOx),Monoxido de nitrogeno (NO),Dioxido de nitrogeno (NO2),Particulas PM10,Niquel (Ni),Arsenico (As),Plomo (Pb),Benzo(a)pireno (BaP),Cadmio (Cd)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/7A.csv,
39.47964,-0.3374,Universidad Politecnica,Campus de la U. Politecnica. Avda. Tarongers,Suburbana,Fondo,"Dioxido de azufre (SO2),Ozono,Oxidos de nitrogeno totales (NOx),Monoxido de nitrogeno (NO),Dioxido de nitrogeno (NO2),Particulas PM10,Particulas PM2.5,Particulas PM1",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/1A.csv,http://aqicn.org/city/spain/valencia/valencia/politecnic/m/
39.4811,-0.40879,Moli del Sol,Avda. Pio Baroja - Avda. General Aviles,Suburbana,Trafico,"Dioxido de azufre (SO2),Monoxido de carbono (CO),Ozono,Oxidos de nitrogeno totales (NOx),Monoxido de nitrogeno (NO),Dioxido de nitrogeno (NO2),Particulas PM10,Particulas PM2.5,Particulas PM1",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/3A.csv,http://aqicn.org/city/spain/valencia/valencia/moli-del-sol/m/
39.45806,-0.37664,Pista de Silla,"C/ Filipinas, s/n",Urbana,Trafico,"Dioxido de azufre (SO2),Monoxido de carbono (CO),Ozono,Oxidos de nitrogeno totales (NOx),Monoxido de nitrogeno (NO),Dioxido de nitrogeno (NO2),Particulas PM10,Nivel de presion sonora (SPL),Velocidad de viento (Veloc.),Temperatura media (Temp.),Humedad relativa (H.Rel.),Radiacion solar (R.Sol.),Presion barometrica (Pres.)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/4A.csv,http://aqicn.org/city/spain/valencia/valencia/pista-de-silla/m/
